ID,MARCA,GPU,Las Condes,Manuel Montt,Mall Arauco Maipu,Mall Plaza Alameda,Chillan,Precio ($),TIPO DE MEMORIA,Memoria,Potencia (W),Especificacion,Tamano de tarjeta,Uso de slots
35236,Galax,NVIDIA,0,0,0,0,1,49990,DDR3,1,-300,1,1,1
38685,Gigabyte,NVIDIA,5,0,0,3,2,52190,GDDR5,2,-300,2,1,1
28507,MSI,NVIDIA,1,0,0,0,0,54990,DDR3,1,-19,1,1,1
36075,Asus,NVIDIA,7,8,6,6,3,59990,GDDR5,1,-19,1,1,1
35258,Asus,NVIDIA,1,0,0,0,1,64990,GDDR5,2,-19,2,1,1
37862,PNY,NVIDIA,1,0,0,0,1,139990,GDDR5,2,-30,2,1,1
36974,AMD,AMD,0,0,0,0,1,163390,GDDR5,2,-35,2,2,2
29276,Gigabyte,NVIDIA,3,2,0,3,0,169990,GDDR5,4,-300,4,2,2
38684,Gigabyte,NVIDIA,5,6,1,0,2,171690,GDDR6,4,-300,4,1,1
37920,PNY,NVIDIA,7,8,1,4,0,199990,GDDR6,4,-75,4,2,2
37351,Asus,AMD,12,20,5,6,1,199990,GDDR5,8,-450,8,2,2
37813,MSI,NVIDIA,4,10,3,4,3,209990,GDDR6,4,-75,4,2,2
37921,Gigabyte,AMD,9,18,3,3,2,209990,GDDR5,8,-450,8,2,2
36325,MSI,AMD,1,2,1,0,0,219990,GDDR6,4,-130,4,2,2
36428,PNY,NVIDIA,1,0,0,0,1,219990,GDDR5,2,-40,2,1,1
37814,MSI,NVIDIA,1,1,1,2,0,239990,GDDR6,4,-85,4,2,2
38314,Asus,AMD,3,3,2,3,1,239990,GDDR6,4,-450,4,2,2
38386,Asus,AMD,10,13,4,3,2,239990,GDDR5,8,-550,8,2,2
34734,Asus,NVIDIA,1,1,0,0,0,239990,GDDR5,4,-300,4,2,2
39013,EVGA,NVIDIA,3,5,3,3,3,239990,GDDR6,4,-75,4,2,2
36340,MSI,NVIDIA,1,0,0,0,0,249990,GDDR6,4,-100,4,2,2
38681,Gigabyte,AMD,3,3,3,3,2,249990,GDDR6,4,-450,4,2,2
37781,Asus,NVIDIA,1,1,1,0,0,254990,GDDR6,4,-350,4,1,2
39012,EVGA,NVIDIA,3,4,3,3,2,256490,GDDR6,4,-100,4,2,2
38447,PNY,NVIDIA,4,7,4,4,2,259990,GDDR6,6,-450,6,1,2
35861,Asus,NVIDIA,6,8,3,3,3,269990,GDDR5,4,-300,4,2,2
36330,Asus,AMD,0,0,0,0,1,269990,GDDR6,8,-450,8,2,2
36757,MSI,NVIDIA,1,1,2,1,0,269990,GDDR6,4,-100,4,1,2
37104,Asus,AMD,0,0,1,0,0,269990,GDDR6,8,-450,8,2,2
37782,Asus,NVIDIA,1,0,0,0,0,269990,GDDR6,4,-350,4,2,2
36444,PNY,NVIDIA,3,6,2,2,1,289990,GDDR6,6,-125,6,1,2
38282,MSI,NVIDIA,1,2,3,3,1,299990,GDDR6,6,-125,6,2,2
37103,Asus,NVIDIA,2,1,2,1,0,299990,GDDR6,6,-450,6,1,2
35153,PNY,NVIDIA,0,0,0,1,0,309990,GDDR6,6,-450,6,1,2
35863,Asus,NVIDIA,1,1,1,1,1,369990,GDDR6,6,-450,6,2,2
32543,MSI,NVIDIA,0,1,0,0,0,369990,GDDR6,6,-120,6,2,2
37783,Asus,NVIDIA,1,5,2,3,1,374990,GDDR6,6,-450,6,2,2
32542,MSI,NVIDIA,0,0,0,0,1,379990,GDDR6,6,-130,6,2,2
